"İl
Provinces","Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",Nüfus Yoğunluğu Population Density
Toplam-Total ,86 092 168,43 059 434,43 032 734,,80 555 475,40 200 297,40 355 178,,5 536 693,2 859 137,2 677 556,  112
Adana,2 283 609,1 141 614,1 141 995,,2 283 609,1 141 614,1 141 995,,-,-,-,  170
Adıyaman, 617 821, 312 881, 304 940,, 426 559, 213 905, 212 654,, 191 262, 98 976, 92 286,  83
Afyonkarahisar, 751 808, 376 802, 375 006,, 467 646, 233 438, 234 208,, 284 162, 143 364, 140 798,  55
Ağrı, 491 489, 254 223, 237 266,, 308 439, 156 322, 152 117,, 183 050, 97 901, 85 149,  44
Amasya, 342 242, 172 102, 170 140,, 259 413, 130 139, 129 274,, 82 829, 41 963, 40 866,  61
Ankara,5 910 320,2 911 853,2 998 467,,5 910 320,2 911 853,2 998 467,,-,-,-,  238
Antalya,2 777 677,1 397 014,1 380 663,,2 777 677,1 397 014,1 380 663,,-,-,-,  135
Artvin, 167 531, 83 906, 83 625,, 109 355, 53 377, 55 978,, 58 176, 30 529, 27 647,  23
Aydın,1 172 107, 580 536, 591 571,,1 172 107, 580 536, 591 571,,-,-,-,  146
Balıkesir,1 284 517, 638 871, 645 646,,1 284 517, 638 871, 645 646,,-,-,-,  91
Bilecik, 228 995, 115 833, 113 162,, 192 602, 97 088, 95 514,, 36 393, 18 745, 17 648,  54
Bingöl, 282 299, 141 831, 140 468,, 199 176, 97 360, 101 816,, 83 123, 44 471, 38 652,  35
Bitlis, 360 423, 186 601, 173 822,, 241 049, 124 016, 117 033,, 119 374, 62 585, 56 789,  55
Bolu, 327 173, 162 989, 164 184,, 242 726, 120 909, 121 817,, 84 447, 42 080, 42 367,  40
Burdur, 277 226, 139 689, 137 537,, 196 943, 99 256, 97 687,, 80 283, 40 433, 39 850,  40
Bursa,3 263 011,1 628 212,1 634 799,,3 263 011,1 628 212,1 634 799,,-,-,-,  314
Çanakkale, 573 976, 284 409, 289 567,, 356 050, 175 131, 180 919,, 217 926, 109 278, 108 648,  58
Çankırı, 200 549, 100 567, 99 982,, 139 163, 68 399, 70 764,, 61 386, 32 168, 29 218,  26
Çorum, 519 590, 258 085, 261 505,, 399 140, 196 121, 203 019,, 120 450, 61 964, 58 486,  42
Denizli,1 060 975, 526 573, 534 402,,1 060 975, 526 573, 534 402,,-,-,-,  88
Diyarbakır,1 852 356, 935 763, 916 593,,1 852 356, 935 763, 916 593,,-,-,-,  124
Edirne, 422 438, 212 403, 210 035,, 325 511, 162 298, 163 213,, 96 927, 50 105, 46 822,  69
Elazığ, 605 678, 299 091, 306 587,, 485 064, 236 917, 248 147,, 120 614, 62 174, 58 440,  69
Erzincan, 239 625, 121 927, 117 698,, 182 083, 90 036, 92 047,, 57 542, 31 891, 25 651,  21
Erzurum, 736 877, 366 932, 369 945,, 736 877, 366 932, 369 945,,-,-,-,  29
Eskişehir, 927 956, 461 180, 466 776,, 927 956, 461 180, 466 776,,-,-,-,  66
Gaziantep,2 222 415,1 119 557,1 102 858,,2 222 415,1 119 557,1 102 858,,-,-,-,  329
Giresun, 455 074, 227 438, 227 636,, 308 227, 151 849, 156 378,, 146 847, 75 589, 71 258,  65
